subset,contrast,cond_a,cond_b,item,diff_steps_taken,diff_final_surprisal,diff_final_entropy,diff_final_sampler_entropy,diff_final_sampler_p_target,diff_cumulative_kl,diff_sampler_cumulative_kl
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,22,616.0,-1.3473200975741495,5.567353963851929,0.6465435028076172,-9.807388414628804e-05,0.8787131941280677,1.623863048676867
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,23,-521.0,3.7368416771695827,-5.36722207069397,0.028011322021484375,-5.331885404302739e-07,-0.4624970751974615,-2.52372291800566
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,24,-523.0,2.8575460733847162,-4.665152668952942,2.1658663749694824,8.430678281001747e-05,-0.4375816913161543,-1.2868531681597233
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,2,-412.0,3.5202878645770106,-4.389994502067566,-0.2575998306274414,-7.651185569557128e-07,-0.18237845052499324,-1.2328689753776416
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,3,149.0,-2.0854336098186934,1.2998745441436768,0.13927412033081055,0.00017878403014037758,0.12876615150889847,0.7215357254026458
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,4,284.0,-1.4240573824685931,2.451767921447754,0.5070300102233887,-1.4852594176772982e-07,0.31821449105700594,0.9880554062547162
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,5,-404.0,3.6544636496658978,-3.7198383808135986,-0.5606260299682617,-4.358550359029323e-05,-0.14380830733352923,-0.5913785443408415
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,6,421.0,-1.031704879326723,4.168314456939697,0.90411376953125,-0.0007723714224994183,0.4050589543512615,0.8710608920664527
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,7,676.0,-2.694327395777143,6.158291816711426,0.08816814422607422,0.0024122274480760098,0.5880540583966649,1.1558789341943339
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,8,149.0,0.14594701284374878,0.9530534744262695,0.1385645866394043,-0.0006001185392960906,0.07814569411493721,0.2975451514357701
ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,9,655.0,-2.1670086499702084,5.327305793762207,0.21462631225585938,5.338391929399222e-05,0.648393457995553,1.0595059611368924
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,25,-520.0,-6.393034703203927,-5.003317356109619,-3.484767436981201,0.030555203218682436,-0.13000814004408312,-0.6050142282620072
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,26,-616.0,-7.651742650746587,-6.472045063972473,-4.051135063171387,0.08260987188987201,-0.35079985045558715,-1.1120843607350253
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,27,878.0,-9.269033020660459,6.204863719642162,-4.311451435089111,0.008493640925735235,0.9054505581952981,2.477802737732418
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,28,-867.0,-4.305530861058586,-8.618780076503754,-2.312366485595703,0.0728067030722741,-0.6271216674722382,-1.5921768892440014
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,29,820.0,-5.971615855889636,6.9703545570373535,-2.210977554321289,0.00046756242227274925,0.7695268943680276,1.4922297925222665
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,30,-616.0,3.2553740922713583,-6.782621264457703,-5.220125675201416,7.140116940718144e-05,-0.48956619843738736,-1.9956933979410678
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,31,486.0,-21.09171428492597,3.975428357720375,-5.058372497558594,0.21675827819308324,0.1390840820458834,0.7514691246906295
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,32,-616.0,-6.395531529756303,-6.368173360824585,-4.060001850128174,0.06906860775779933,-0.24581342315286747,-1.677801921730861
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,33,-520.0,-4.926743362318582,-5.064963340759277,-3.212352752685547,0.03793276094074827,-0.8795073571200192,-3.4132659560418688
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,34,-190.0,-8.083834565487063,-4.289156913757324,-3.673521041870117,0.014866643949062563,-0.23149563397601014,-0.8621898093842901
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,35,-419.0,11.397917147243147,-5.758275628089905,-3.9727420806884766,-0.0006451847611970152,-0.12775452784262598,-0.9318083439720795
RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,36,-305.0,-9.108200981641353,-2.71005916595459,-0.7829303741455078,0.050163409010565374,-0.5502918856018368,-1.0706172777572647
